texto,clase,tipo,origen,
"Aquel enjambre humano debía presentar a vuelo de pájaro el aspecto de un basurero. Los sombreros mugrientos, los forros encarnados de las ruanas, los pañolones oscuros y sebosos, los paraguas apabullados, tantos pañuelos y trapajos retumbantes, eran el guardarropa de un Arlequín. Animadísima estaba la feria: era primer domingo de mes y el vecindario todo había acudido a renovación. Destellaba un sol de justicia; en las tasajeras de carne, de esa carne que se acarroñaba al resistero, buscaban las moscas donde incubar sus larvas; en los tendidos de cachivaches se agrupaban las muchachas campesinas, sudorosas y sofocadas, atraídas por la baratija, mientras las magnatas sudaban el quilo, a regateo limpio, entre los puestos de granos, legumbres y panela. Ese olor de despensa, de carnicería, de transpiración de gentes, de guiñapos sucios mezclado al olor del polvo y al de tanta plebe y negrería, formaban sumados, la hediondez genuina, paladinamente manifestada, de la humanidad. Los altercados, los diálogos, las carcajadas, el chillido, la rebatiña vertiginosa de la venduta, componían, sumados también, el balandro de la bestia. Llenaba todo el ámbito del lugarón.",humano,cuento,https://es.wikisource.org/wiki/A_la_plata,
"Raciocinemos, pues, o divaguemos, que en cierto modo viene a ser una misma operación mental. He dicho que la libertad es un principio esencial, coexistente con la organización humana. Pero es un principio malo, muy malo; esto lo ha descubierto el hombre mismo, a juzgar por todo lo que ha hecho para suprimirlo, ya en forma de formas de gobierno, ya de cultura codificada, ya, en fin, de moralidades más o menos religiosas. Y ésa es una prueba de que la libertad es una cosa mala. No sé cuántos siglos llevamos vividos, pero sí sé que todos ellos se han empleado en perseguir eso que se llama libertad. A veces el mal principio, le llamaremos así, ha crecido, ha crecido tanto, que los pueblos no han podido menos que hacerse sus instrumentos, y fingiendo un santo ardor por eso, llamado entonces la causa de la libertad, han parecido heroicos, sublime y han levantado cadalsos para... los otros, los que no sentían ese mismo fuego sagrado; han cortado la cabeza a unos cuantos reyes; del pueblo mismo, no se diga, - porque pueblo quiere decir en lenguaje de... este día, es decir, pronunciado con antifaz, para que lo crean mentira - ; una fuente de agua roja llamada vulgarmente sangre, para regar los campos, las calles y los palacios, cuando se enojan los gobiernos con los que no los quieren, o cuando éstos se enojan porque los otros se demoran mucho en el poder; también se da ese nombre a la colectividad de los que pagan por hacerse ricos; otros llamados comúnmente administradores de la cosa pública, es decir, del pueblo, - lo repito porque es lo más frecuentemente olvidado - ; esto, llamado así, ocupa el nivel común de las cosas, es la base de todo, base, entiéndase bien, porque sirve para poner sobre sus espaldas todo, porque es una cosa muy dura u resistente. Así es también sensible a veces, como si tuviera un alma sola y grande. Hay palabras que lo conmueven y lo levantan en masa, y entonces, ¡Dios nos libre!, mejor dicho, ¡libre Dios a los enemigos de la patria...!",humano,cuento,https://es.wikisource.org/wiki/A_solas_con_mi_demonio,
"Abuelita es muy vieja, tiene muchas arrugas y el pelo completamente blanco, pero sus ojos brillan como estrellas, sólo que mucho más hermosos, pues su expresión es dulce, y da gusto mirarlos. También sabe cuentos maravillosos y tiene un vestido de flores grandes, grandes, de una seda tan tupida que cruje cuando anda. Abuelita sabe muchas, muchísimas cosas, pues vivía ya mucho antes que papá y mamá, esto nadie lo duda. Tiene un libro de cánticos con recias cantoneras de plata; lo lee con gran frecuencia. En medio del libro hay una rosa, comprimida y seca, y, sin embargo, la mira con una sonrisa de arrobamiento, y le asoman lágrimas a los ojos. ¿Por qué abuelita mirará así la marchita rosa de su devocionario? ¿No lo sabes? Cada vez que las lágrimas de la abuelita caen sobre la flor, los colores cobran vida, la rosa se hincha y toda la sala se impregna de su aroma; se esfuman las paredes cual si fuesen pura niebla, y en derredor se levanta el bosque, espléndido y verde, con los rayos del sol filtrándose entre el follaje, y abuelita vuelve a ser joven, una bella muchacha de rubias trenzas y redondas mejillas coloradas, elegante y graciosa; no hay rosa más lozana, pero sus ojos, sus ojos dulces y cuajados de dicha, siguen siendo los ojos de abuelita.",humano,cuento,https://es.wikisource.org/wiki/Abuelita_(Andersen),
"En un recinto estrecho, entre paredes llenas de hollín, negras, muy negras, trabajaban unos hombres en la forja. Uno movía el fuelle que resoplaba, haciendo crepitar el carbón, lanzando torbellinos de chispas y llamas como lenguas pálidas, áureas, azulejas, replandecientes. Al brillo del fuego en que se enrojecían largas barras de hierro, se miraban los rostros de los obreros con un reflejo trémulo. Tres yunques ensamblados en toscas armazones resistían el batir de los machos que aplastaban el metal candente, haciendo saltar una lluvia enrojecida. Los forjadores vestían camisas de lana de cuellos abiertos, y largos delantales de cuero. Alcanzábaseles a ver el pescuezo gordo y el principio del pecho velludo; y salían de las mangas holgadas los brazos gigantescos, donde, como en los de Amico, parecían los músculos redondas piedras de las que deslavan y pulen los torrentes. En aquella negrura de caverna, al resplandor de las llamaradas, tenían tallas de cíclopes. A un lado, una vantanilla dejaba pasar apenas un haz de rayo de sol. A la entrada de la forja, como en un marco oscuro, una muchacha blanca comía uvas. Y sobre aquel fondo de hollín y de carbón, sus hombros delicados y tersos que estaban desnudos, hacían resaltar su bello color de lis, con un casi imperceptible tono dorado.",humano,cuento,https://es.wikisource.org/wiki/Aguafuerte,
"Era una tarde de las primeras frías de Octubre. El concienzudo Avecilla terminaba la copia de una minuta conceptuosa escrita por el oficial de su mesa, y mientras limpiaba la pluma en la manga de percal inherente a su personalidad oficinesca, sonreía a la idea de un proyecto que desde aquella mañana tenía entre ceja y ceja. Almorzaba don Casto en la oficina y sin vino, por lo común, pero aquel día un compañero aragonés habíale dado a probar un Valdiñón que de Zaragoza le enviaron los suyos, y don Casto, que no solía probarlo, con una sola copa se había puesto muy contento, y hasta la tinta la veía de color de rosa. Y por cierto que decía: -¿Quién ha traído esta tinta tan clara? Es bonita para cartas de lechuguinos, pero no es propia de la dignidad del Estado-. Porque es bueno advertir de paso, que Avecilla, muchos años después de haber comenzado su vida burocrática, había averiguado que lo que él había llamado el Gobierno siempre, no era precisamente quien le pagaba ni a quien él servía; supo, en suma, que existía una entidad superior llamada Estado, y que el Estado, es decir, yo, usted, el vecino, todos los ciudadanos, en suma, eran los verdaderos señores, pero no como particulares, sino en cuanto entidad Estado. Saber esto y engreírse el Sr. Avecilla fue todo uno. Desde entonces, se creyó una ruedecilla de la gran máquina, y tomó la alegoría mecánica tan al pie de la letra, que casi se volvía loco pensando que si él caía enfermo, y se paraba, por consiguiente, en cuanto rueda administrativa, las ruedecillas que engranaban con él, se pararían también, y de una en otra, llegaría la inacción a todas las ruedas, inclusive las más grandes e interesantes. Muchas veces, cuando salía el buen escribiente a paseo con su cara mitad y con su querida Pepita, hija única, de diecisiete años, iba pensando cosas así. Reparaba con pena el color de ala de mosca de la mantilla de su mujer; bien comprendía que el abrigo de Pepilla era raquítico, muy corto y atrasado de moda y desairado; y ¡qué lástima!, precisamente la chiquilla tenía un cuerpo hecho a torno. Pero por muy bien torneado que tuviera el cuerpo, cuando apretaba el frío no había más remedio que recurrir al abrigo desairado y tristón. Los pobres no siempre pueden lucir la hermosura. -Para ver a Pepilla hay que verla cosiendo en su guardilla -pensaba el padre-, cosiendo en su guardilla, en verano, en enaguas, con un pañuelo de percal al cuello, la camisilla algo descotada, sudando gotitas muy menudillas por el finísimo cuello... y canta que cantarás... En invierno, la ropa mal hecha y no siempre hecha para ella, le roba a la vista algunos encantos... Pero todas estas tristezas que iba pensando por el paseo el señor don Casto se le olvidaban como cosa baladí, cuando volvía a parar mientes en su propia personalidad administrativa. -En cuanto a mí -decía-, soy un miembro intrínseco de la sociedad de que formo parte. Y se detenía un momento, y dejaba que madre e hija siguieran un poco adelante, para contemplarse a su sabor en su calidad de miembro integrante (que era lo que él quería decir con lo de intrínseco) de la sociedad de que formaba parte. Llevaba siempre a paseo un gabán ruso, de color de pasa, del más empecatado género catalán que fue en el mundo protegido de aranceles. Ocho duros decía don Casto que había sido el precio de tan hermosa prenda, pero esto era una de las pocas mentirijillas que él creía necesario decir en holocausto al decoro. El gabán había costado cinco duros y ya se había reenganchado varias veces, pues más de seis años atrás había cumplido el servicio y merecido la absoluta. Decía don Casto que no el Gobierno, sino los particulares eran los que debían proteger la industria nacional. -¿Que cómo? -declamaba en su oficina, dando un puñetazo, no muy fuerte, al pupitre (en ausencia del oficial)-. ¿Que cómo? Es muy sencillo; usando, como yo uso siempre, géneros españoles -y señalaba con el dedo índice de la mano derecha a su gabán ruso colgado de humilde percha; y en esta actitud permanecía mucho tiempo-. No es el Estado, no, como entidad, el que debe cuidar las industrias; somos nosotros los que debemos consumir constantemente, y cueste lo que cueste, los productos nacionales. Así se hermana la libertad con la prosperidad nacional. Es preciso confesar que Avecilla, aunque modesto por condición, sentía gran orgullo al contemplarse inventor de esta graciosa componenda del libre cambio y el proteccionismo. Leía los periódicos, y al llegar el verano solía encontrar noticias como esta: «Los duques de las Batuecas han sido para Biarritz». -¡Fuego en ellos! -gritaba don Casto-; esta nobleza, esta respetable nobleza, sí, muy respetable, por otra parte, no conoce sus intereses: ¡así se protege la prosperidad nacional! Ir al extranjero... dejar allí todo el dinero de la nación... no, en mis días, no iré yo a vestirme al extranjero. ¿Pues y las modas? ¿Y las señoritas que encargan sus trajes a París? Aborrecía don Casto Le bon marché y Le Printemps con toda su alma, tanto, que una vez que le hablaron del Barbero de Beaumarchais: -¡No me hablen de ese comerciante! -gritó tomando al poeta por el comercio parisiense-. Mi hija no encarga, no, sus vestidos a esos establecimientos, que viste a la española, y como española... lo mismo que su padre.",humano,cuento,https://es.wikisource.org/wiki/Avecilla,
"Voló, y regresó al momento. Explicó, cantando, que para conseguir el Príncipe lo que deseaba, debía ocultarse en un bosque junto al lago que había inmediato al castillo; que cuando se bañase la hija del gobernador de la fortaleza, la robase los vestidos, y no se los devolviese hasta que la viese muy apurada. La avutarda, que por lo ligera y servicial debía llamarse avelista, se ofreció de guía. El Príncipe se agarró a la cola, y en un dos por tres llegaron al bosque, y se escondieron, mientras la hija del señor del castillo, niña preciosa de quince años, se metía en el agua, despojándose de su túnica de tisú de oro. Cuando se la quiso poner, no la encontró; la avutarda, revoloteando, se la había quitado y llevado al Príncipe. La hermosa doncella exclamó llorando:",humano,cuento,https://es.wikisource.org/wiki/Blanca_Rosa,
"Una vez la fantasía, templada á esta altura, fácilmente se reconstruyen los derruidos torreones, se levantan como por encanto los muros, cruje el puente levadizo bajo el herrado casco de los corceles de la regia cabalgata, las almenas se coronan de ballesteros, en los silenciosos patios se vuelve á oir la elegre algarabía de los licenciosos pajes, de los rudos hombres de armas y de la gente menuda del castillo que adiestran á volar á los azores, atraillan los perros, ó enfrenan los caballos. Cuando el sol brilla y perfila de oro las almenas, aún parece que se ven tremolar los estandartes y lanzar chispas de fuego los acerados almetes; cuando el crepúsculo baña las ruinas en un tinte violado y misterioso, aún parece que la brisa de la tarde murmura una canción gimiendo entre los ángulos de la Torre de los Trovadores, y en alguna gótica ventana, en cuyo alféizar se balancea al soplo del aire la campanilla azul de una enredadera silvestre, se cree ver asomarse un instante y desaparecer una forma blanca y ligera.",humano,cuento,https://es.wikisource.org/wiki/Castillo_real_de_Olite,
"Montó pues Babuco en su camello, y se marchó con sus sirvientes. Al cabo de algunas jornadas, encontró en los valles de Senaar el exército persa que iba á pelear con el exército indio; y dirigiéndose á un soldado que halló en un parage remoto, le preguntó qual era el motivo de la guerra. Por los Dioses celestiales, que no lo sé, dixo el soldado, ni me importa; mi oficio es matar ó que me maten para ganar mi vida: servir aquí ó allí, es para mí todo uno; y aun puede ser que me pase mañana al campo de los Indios, que dicen que dan á los soldados cerca de media-dracma de cobre al dia mas que en este maldito servicio de Persia. Si quereis saber porque pelean, hablad con mi capitan. Babuco, despues de haber hecho un regalejo al soldado, entró en el campo, y habiendo hecho conocimiento con el capitan le preguntó el motivo de la guerra. ¿Cómo quereis que lo sepa yo? ¿y qué me importa, sea el que quiera? Yo resido á doscientas leguas de distancia de Persepolis; me dicen que se ha declarado la guerra, y al punto dexo mi familia, y, como es costumbre, voy á buscar fortuna ó la muerte, porque no tengo otra cosa que hacer. ¿Y vuestros camaradas, dixo Babuco, no estan tampoco mas instruidos que vos? No, dixo el oficial: solamente nuestros principales sátrapas son los que á punto fixo saben porque nos degollamos.",humano,cuento,"https://es.wikisource.org/wiki/Como_anda_el_mundo,_visi%C3%B3n_de_Babuco",
"Llegado que hubo Joseíto el Penitas al hondilón del Caravaca, como el sol implacable de junio habíale hecho sudar más de lo que se necesita para curar un constipado, apenitas húbose sentado tiró sobre una silla el sombrero, se desabrochó la pechera de la camisa, dejando ver más crines que un caballo de Pomerania, aflojose el ceñidor que cogíale casi desde el sobaco a la ingle, y después de resollar a pleno pulmón y de enjugarse la frente con un pañuelo de imponentes dimensiones, exclamó dirigiéndose a Paquiro un chaval esmirriado y de acharranado semblante, que mataba el ocio escamoteando alguna que otra aceituna, o alguna que otra rodaja de huevo de las fuentes, que colocadas sobre el limpísimo mostrador, tentaban a los parroquianos.",humano,cuento,https://es.wikisource.org/wiki/Currita_la_quinquillera,
"El sol moría tras los altos picachos de la mina. Sin transición de crepúsculo, como ocurre en las altas cordilleras, la noche venía encima. El primer fuego encendido chisporroteaba con los quiscos secos mezclados a las ramas de espino. De abajo, en medio del alto silencio de la montaña subía el tintineo de una tropa de mulas retardada en el camino. Andrade avanzó después de esa breve presentación que hacía un lacónico v elocuente compendio de su vida de penalidades. Porque el viejo había padecido; antes de oírlo, ya sabía yo que su existencia había sido golpeada como pocas. En su faz rugosa, agrietada, esculpida por un tosco cincel, se leían las privaciones del hambre, las brutales quemaduras del sol y de la nieve, tal vez algunas manchas de sangre y de crímenes inconfesables. Hombre nacido para la más ruda batalla, enseñado desde niño a todas las crudezas, no podía encontrar ya nada sobre la tierra que lo hiciera temblar. La nariz aplastada como bajo el golpe de un machete, parte de la espaciosa frente hundida, una oreja incompleta, la voz resuelta pero contenida; era fácil comprender que ese luchador derrotado ni tuvo niñez apacible ni alcanzaría tampoco vejez con reposo.",humano,cuento,https://es.wikisource.org/wiki/De_pillo_a_pillo,
"Hemos dicho que D. Narices tenía el pelo lustroso, lo que equivale a confesar que le lucía el pelo, que a su vez vale tanto como declarar que comía bien. Si alguien lo dudase bastaría una mirada al cuerpo redondeado y a los muslos rollizos del perro para desvanecer la duda. Comía bien el can, y, además de buena, la comida era abundante. Aseguro que D. Narices era un perro privilegiado. ¡Vaya si lo era! Sépase que aún no se sabe todo; y no se sabe todo porque no se ha dicho. Este perro tenía por morada la mejor de las moradas que a un can puede darse: una cocina. ¿Se concibe dicha superior a la de D. Narices? ¡Cuántos perros vagabundos se quedaban como clavados en el suelo, el cuello a medio torcer y las fosas nasales abiertas aspirando el tufo que de la cocina se desprendía! Y D. Narices comía lo que sus errantes compañeros sólo podían oler. En invierno tenía buena lumbre; y al llegar la noche siempre encontraba una silla, una estera o un trapo que le sirviera de cama. Confesemos que no podía desear mayor felicidad perruna.",humano,cuento,https://es.wikisource.org/wiki/Don_Narices,
"—No, no: lo encontró. No sabemos quién sea su dueño. Ruego á usted que lo mire, no como una galerita estropeada, sino como un problema intelectual. Pero, primero, diré á usted cómo ha yenido á dar aquí. Llegó en la mañana de Navidad, en compañía de un buen ganso gordo, el cual, no tengo duda de ello, se asa en este momento delante del fuego de Peterson. Los hechos son estos: á eso de las cuatro de la mañana de Navidad, Peterson, mozo honrado á carta cabal, como usted sabe, volvía de una pequeña fiesta, y pasaba por la Avenida Tottenham en dirección á casa. Por delante de él vió, á la luz del á un hombre de elevada estatura, que angas, daba con paso no muy firme y llevaba colgado del hombro un ganso blanco. Al llegar á la esquina de la calle Goodge, estalló una riña entre ese individuo y un pequeño grupo de vagabundos. Uno de éstos hizo caer al suelo el sombrero del hombre, el cual, entonces, levantó su bastón para defenderse, y al darle vuelo hacia atrás, rompió la vidriera de una tienda. Peterson había corrido á proteger al hombre contra sus asaltantes; pero éste, asustado de haber roto el vidrio y al ver que se acercaba una persona vestida con un uniforme que le daba aspecto oficial, dejó caer el ganso, echó á correr, y se perdió en el laberinto de callejuelas que se extiende por detrás de la Avenida Tottenham. También los vagabundos habían huído al aparecer Peterson, de modo que éste quedó dueño del campo de batalla, y también del botín de la victoria, que consistían en este raído sombrero y en el más irreprochable ganso de Navidad.",humano,cuento,https://es.wikisource.org/wiki/El_carbunclo_azul,
"Durante mucho tiempo vivió en el armario de juguetes o en el piso del cuarto del niño, y nadie pensó en él. Era naturalmente tímido, y como sólo estaba hecho de peluche, algunos de los juguetes más caros lo despreciaban mucho. Los juguetes mecánicos eran muy superiores y menospreciaban a todos los demás; estaban llenos de ideas modernas y fingían ser reales. El modelo de barco, que había vivido dos temporadas y había perdido la mayor parte de su pintura, entendió su estilo y nunca perdía una oportunidad de referirse a su timbre en términos técnicos. El conejo no podía reclamar ser un modelo de nada, pues no sabía que existieran conejos reales; pensaba que eran todos rellenos de aserrín como él y él sabía que el aserrín era bastante obsoleto y nunca debía ser mencionado en círculos modernos. Incluso Timoteo, el León de madera, que había sido hecho por soldados discapacitados y debería haber tenido puntos de vista más amplios, se vanagloriaba y fingía estar relacionado con el Gobierno. Entre todos ellos el pobre conejo se veía a sí mismo muy insignificante y banal y la única persona que fue amable con él fue el Caballo de Cuero.",humano,cuento,https://es.wikisource.org/wiki/El_Conejo_de_Peluche#P1,
"Nadie contradijo su afirmación; él mismo era la prueba de que era cierta, pues no era parte de nuestro grupo y debe haber estado cerca cuando acampamos. Más aún, debía tener compañeros no muy lejos; no era un sitio donde alguien podría vivir o viajar solo. Por más de una semana no habíamos visto, además de a nosotros mismos y a nuestros animales, más entes vivos que víboras de cascabel y sapos cornudos. En un desierto de Arizona uno no coexiste solo con tales criaturas por mucho tiempo: hacen falta animales de carga, suministros, armas - un ""equipo"". Y todo ello implica camaradas. Fue tal vez la duda respecto a qué tipo de hombres podían ser los camaradas de este inceremonioso extraño, junto con algo en sus palabras que podía interpretarse como un reto, lo que hizo que cada hombre de nuestra media docena de ""caballeros aventureros"" enderezara su posición hasta sentarse y colocara sus manos sobre un arma - un acto que significaba, en ese tiempo y lugar, una política de expectativa. El extraño no prestó atención al asunto y empezó a hablar nuevamente en el mismo tono monótono, sin inflexiones, en el que había pronunciado su primera frase.",humano,cuento,https://es.wikisource.org/wiki/El_extra%C3%B1o,
"Alejandro se quedó muy preocupado al oír aquello, y Pepita más. A los dos se les ocurrió lo mismo: puesto que los gatos eran iguales, ¿por qué no los habían de cambiar? Había en la casa un patio muy pequeño al que daban las cocinas de Doña Carlota y D. Serafín, viniendo las ventanas una enfrente de otra. Por allí se habían asomado muchas veces los vecinitos Alejandro y su hermana para hacer muecas a Blanca, y ésta para enseñarles sus juguete. El niño, que era muy malo, dijo a Pepita que se fingiera amiga de la hija de Doña Carlota para entrar en la casa más fácilmente y coger al gato, a lo que ella se prestó gustosa porque ya miraba a Fígaro con horror.",humano,cuento,https://es.wikisource.org/wiki/El_gato_negro_(Asensi),
"Siké, la gran aldea china que existiera allá por los tiempos en que Confucio fumaba opio y dictaba lecciones de Moral en la Universidad de Pekín, había sufrido grandes vicisitudes políticas. En los antiguos tiempos Siké había sido el centro de una importante civilización de la China, una especie de teocracia a base de servilismo que duró hasta la invasión de los conquistadores manchúes, que trajeron a los indígenas de Siké más vicios de los que ellos, sin esfuerzo, poseían y practicaban. Los manchúes esclavizaron a los de Siké durante siglos. Todas las riquezas de Siké, todas las contribuciones de opio, crisantemos, nidos de golondrinas, ratas en conserva, grullas, lotos, arroz y demás productos, iban derecho a parar al gobernador de los manchúes. Cansáronse un día los de Siké y por inspiración de algunos patriotas levantáronse en armas y quisieron ser libres. Pero fracasaron en su empeño y viéronse obligados a pedir auxilio a un capitán extranjero, de gran fama, que estaba a la sazón libertando otras comarcas. A él se entregaron los de Siké y él efectivamente los libró del yugo manchú, pero los sometió a su yugo. Éste, que fue un nuevo tirano, llamábase Si-Mo-On. Humilló a los aristócratas, despojó al gobernante natural, dispuso de las rentas públicas a su antojo, se hizo coronar, ahorcó en las plazas públicas a los altos dignatarios de la milicia, desmembró el territorio de Siké para crear nuevos estados que llevaran su nombre, se hizo gobernante vitalicio, pagó a sus soldados sumas fabulosas por servicios de guerra, y un buen día se marchó después de haber humillado muchos nombres, franqueado muchas alcobas y suprimido algunas vidas ilustres. Sin embargo, los de Siké, que no pudieron olvidar nunca su origen de esclavos manumisos, lo proclamaron ""el gran genio protector y alado, libertador magnánimo y dios titular de Siké"", le levantaron estatuas de bronce y le cantaron himnos rítmicos y épicos. Ya se ha dicho que los de Siké parecían hijos directos de Chun-Chun, el dios del Servilismo.",humano,cuento,https://es.wikisource.org/wiki/El_hediondo_pozo_siniestro,
"Colóquese un curioso en alguna altura de las calles más concurridas: en donde haya almacenes, tiendas de ropa hecha, alguna iglesia inmediata, el despacho de algún cambista, y vinos y comestibles en cada puerta: desde allí sentirá el hervir vividor de las gentes que van y vienen: niños, mujeres, hombres, viejos y mozos; unos corren, otros vuelan, pocos andan despacio, se miran, se saludan, conversan entre sí, todo es movimiento y bulla: cuidado con la rueda, apártate del caballo, mira esa reja, dicen las madres a sus chicos distraídos con las confiterías. Dispense Ud. que le he pisado, dice un corredor que va como D. Cleofás en alas del cojuelo, -¡Zapallos!... ¡pepinos!... ¡para las benditas ánimas!... ¿A cómo la docena? B. a V. La mano, etc., etc.-. ¡Tal es la vocinglería que se escucha! Voces escapadas de las mil bocas de aquel monstruo que se agita y revuelve en las veredas. Tenga paciencia el curioso: colocado en dicha altura ¿no le parecen los ciudadanos yentes y vinientes hormigas que van y vienen al granero? Ni más ni menos: unos y otras negras a la distancia: unos y otras cargados en la cabeza, con comestibles o con buenos o males pensamientos; unos y otras desvastan, unos y otras no se contentan con lo necesario: ellas guardan para el invierno, ellos amontonan para la vejez, que es el invierno de la vida.",humano,cuento,https://es.wikisource.org/wiki/El_hombre_hormiga,
"Sucedió, pues, en aquel tiempo, una lluvia muy copiosa. Los caminos se anegaron; los pantanos se pusieron a nado y las calles de entrada y salida a la ciudad rebosaban en acuoso barro. Una tremenda avenida se precipitó de repente por el Riachuelo de Barracas, y extendió majestuosamente sus turbias aguas hasta el pie de las barrancas del Alto. El Plata creciendo embravecido empujó esas aguas que venían buscando su cauce y las hizo correr hinchadas por sobre campos, terraplenes, arboledas, caseríos, y extenderse como un lago inmenso por todas las bajas tierras. La ciudad circunvalada del Norte al Este por una cintura de agua y barro, y al Sud por un piélago blanquecino en cuya superficie flotaban a la ventura algunos barquichuelos y negreaban las chimeneas y las copas de los árboles, echaba desde sus torres y barrancas atónitas miradas al horizonte como implorando la misericordia del Altísimo. Parecía el amago de un nuevo diluvio. Los beatos y beatas gimoteaban haciendo novenarios y continuas plegarias. Los predicadores atronaban el templo y hacían crujir el púlpito a puñetazos. Es el día del juicio, decían, el fin del mundo está por venir. La cólera divina rebosando se derrama en inundación. ¡Ay de vosotros, pecadores! ¡Ay de vosotros unitarios impíos que os mofáis de la Iglesia, de los santos, y no escucháis con veneración la palabra de los ungidos del Señor! ¡Ah de vosotros si no imploráis misericordia al pie de los altares! Llegará la hora tremenda del vano crujir de dientes y de las frenéticas imprecaciones. Vuestra impiedad, vuestras herejías, vuestras blasfemias, vuestros crímenes horrendos, han traído sobre nuestra tierra las plagas del Señor. La justicia del Dios de la Federación os declarará malditos.",humano,cuento,https://es.wikisource.org/wiki/El_Matadero,
"Ancho, huesoso, atlético, con los hombros robustos, las piernas fuertes y el cuerpo encorvado por la edad, era el tío Roque un campesino aragonés que llevaba con energía sus setenta y cinco años y la administración de sus fincas y propiedades, evaluadas por los inteligentes del contorno en ciento cincuenta mil duros; un capital, diariamente vigilado por su dueño, que recorría sus tierras sobre un caballejo de mala muerte para inspeccionar y dirigir la siega en agosto, la vendimia en septiembre, la siembra en invierno, el esquileo del ganado en primavera, la recolección de frutos en otoño, y las múltiples faenas de la agricultura en todo tiempo, sin cuidarse del calor ni del frío, ni del aire, ni de la lluvia; atravesando una atmósfera de fuego cuando el sol abrasaba los campos, y una sábana de hielo, cuando la nieve, cayendo de las nubes, se extendía en forma de mancha monótona desde los más hondos repliegues del valle hasta los más altos picachos de la sierra.",humano,cuento,https://es.wikisource.org/wiki/El_nido_de_gorriones,
"Hallábame en el cementerio oriental de Azerum dibujando un precioso sepulcro que tenía aspecto de capilla. El sol de otoño se ocultaba tras los lejanos montesdel Lazistan y á los resplandores del crepúsculo, se destacaban sobre el cielo las dentelleadas murallas de la ciudad vecina la cual trepaba por la vertiente de un monte en cuya cumbre se erguia una fortaleza á modo de celoso guardián. Los cañones de ésta lanzaban destellos y en su torre más alta flotaban las águilas del estandarte ruso. Las astas de las banderas se perfilaban inmóviles en lontananza y los elegantes minaretescuyas doradas cúpulas brillaban, parecían otros tantos cirios encendidos ante la faz de Alá. Hilerasde negruzcas piedras sepulcrales descendían hasta el valle y detrás de los cementerios, semejante á una bandada de cisnes, se esparcían por las colinas próximas al campamento ruso que defendía la entrada del desfiladero de Baiburst. El panorama que se desarrollaba ante mis ojos era espléndido, encantador y así olvidaba mi dibujo absorto como estaba en su contemplación. Las sombras del crepúsculo lo revestían todo con misteriosos coloresy poblaban el espacio de vagos ensueños. La ciudad yacía cual dormido gigante, pero sus arrabalesse tornaban bulliciosos á medida que se acercaba.",humano,cuento,https://es.wikisource.org/wiki/El_velo_rojo,
"Laura bajó del tren con el corazón encogido. Era su primer regreso en veinte años y la estación apenas había cambiado. Caminó entre los muros desconchados como si el tiempo no hubiera pasado. El aire olía a trigo y humedad, igual que entonces. Se detuvo frente al café de siempre, ahora con un letrero nuevo. Dentro, pidió lo de siempre, aunque ya no recordaba si le gustaba. El camarero la miró como si supiera quién era. En la mesa del fondo, una pareja reía. Laura sonrió: no todo había cambiado. Su padre había muerto hacía cinco días, y ese pueblo era su único legado. Volvió a mirar el andén: el tren partía, y ella ya no tenía escapatoria.",ia,libro,ChatGPT4o,
"La lluvia golpeaba la ventana como un metrónomo inquieto. Andrés, sentado junto a su escritorio, repasaba las líneas del manuscrito con una mezcla de ansiedad y resignación. Sabía que aquel libro no salvaría su carrera, pero no podía dejar de escribir. Las palabras brotaban como un eco de sus fracasos. Miró el reloj. Era tarde. Pero el tiempo ya no importaba. Se levantó, se sirvió un whisky y encendió un cigarro. En la página siguiente, escribió: “Este es el final, aunque nadie lo leerá.” Cerró los ojos y recordó una frase que su madre solía repetir. Quizá no todo estaba perdido. La tinta aún tenía vida.",ia,libro,ChatGPT4o,
"La bicicleta roja aún seguía colgada en el cobertizo, oxidada, pero intacta. Marcos no la tocaba desde que tenía doce años. Entró con cuidado, como si temiera romper el recuerdo. La puerta chirrió, igual que entonces. En el suelo, una caja de herramientas cubierta de polvo, un casco, y una foto vieja enmarcada. Era su padre, sonriendo junto a él. El aire olía a madera, grasa y olvido. Se sentó en el banco de trabajo. Una lágrima resbaló sin permiso. Habían pasado años desde la última vez que lloró. Tomó la bicicleta, la bajó y sintió cómo pesaban los años. Pero también, por primera vez, sintió que podía avanzar.",ia,libro,ChatGPT4o,
"La plaza estaba vacía a pesar del buen clima. Irene salió del portal envuelta en un abrigo viejo. Caminaba despacio, como si el mundo se le hubiera vuelto ajeno. A su lado, un niño la miró sin decir palabra. Lo conocía, era el hijo de Clara, la vecina. Le sonrió, pero no obtuvo respuesta. Siguió andando, cruzando la plaza, sin rumbo. Llegó al banco donde solía sentarse con su marido. Él ya no estaba, se fue un octubre como este. Sentada allí, vio pasar las hojas y recordó su voz, su risa, la forma en que la llamaba. Cerró los ojos. El banco seguía frío, pero ya no dolía tanto.",ia,libro,ChatGPT4o,
